summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
backward_gap_mean,science,selacc@10%,,,10,backward,9,,0.9186707777777777,0.912781888888889,0.9120076666666667,0.0058888888888888906,0.006663111111111112
backward_gap_mean,science,selacc@10%,,,20,backward,8,,0.9129883750000001,0.907909375,0.90536875,0.005079,0.007619625
backward_gap_mean,science,selacc@10%,,,30,backward,7,,0.9086847142857143,0.9028884285714286,0.8984222857142857,0.005796285714285714,0.01026242857142857
backward_gap_mean,science,selacc@10%,,,40,backward,6,,0.9012726666666667,0.8948761666666667,0.8908811666666666,0.006396499999999999,0.0103915
backward_gap_mean,science,selacc@10%,,,50,backward,5,,0.8908398,0.8838038000000001,0.8801524000000001,0.007036000000000001,0.010687399999999998
backward_gap_mean,science,selacc@10%,,,60,backward,4,,0.8779485,0.867572,0.8642545,0.0103765,0.013694000000000001
backward_gap_mean,science,selacc@10%,,,70,backward,3,,0.8545959999999999,0.8418333333333333,0.840629,0.012762666666666665,0.013967000000000002
backward_gap_mean,science,selacc@10%,,,80,backward,2,,0.8313565,0.8043625,0.8042685,0.026993999999999997,0.027087999999999997
backward_gap_mean,science,selacc@10%,,,90,backward,1,,0.81255,0.74995,0.749187,0.0626,0.063363
backward_gap_mean,science,stop_acc,,,10,backward,9,,0.6408404444444444,0.6378204444444445,0.6429058888888889,0.00302,-0.002065444444444444
backward_gap_mean,science,stop_acc,,,20,backward,8,,0.639438875,0.6360896250000001,0.64243575,0.0033492500000000007,-0.0029968750000000004
backward_gap_mean,science,stop_acc,,,30,backward,7,,0.6354759999999999,0.6359705714285715,0.6424724285714286,-0.0004945714285714284,-0.00699642857142857
backward_gap_mean,science,stop_acc,,,40,backward,6,,0.6293373333333333,0.6332905000000001,0.6417306666666667,-0.003953166666666668,-0.012393333333333333
backward_gap_mean,science,stop_acc,,,50,backward,5,,0.6338972,0.6306666000000001,0.6447948,0.003230599999999999,-0.010897599999999999
backward_gap_mean,science,stop_acc,,,60,backward,4,,0.63823725,0.6305127500000001,0.643109,0.0077245000000000005,-0.004871750000000001
